tag,count
person,241969
girl,169098
woman,118595
face,63307
young,60912
hair,56679
man,53580
white,41648
art,40264
hold,38224
picture,38209
wear,36950
little,36764
boy,36486
drawing,32340
anime,29703
black,29563
cartoon,29505
flower,29210
pink,28564
child,27901
hand,27664
red,27130
stand,26236
blue,25458
sky,25421
dress,24897
cat,24749
animal,23984
sit,23194
look,22166
water,21564
eye,20162
hat,19879
cute,19840
illustration,19667
head,18049
glass,17153
photo,16684
sit on,15590
wallpaper,15011
phone,14290
image,14070
shirt,13777
painting,13368
people,13255
dog,12856
table,11582
bear,9914
wall,9818
lip,9501
ear,9443
green,9351
bed,9321
window,9309
walk,9212
light,9142
drink,9125
tree,8928
smile,8668
street,8556
night,8419
small,8368
cloud,8156
long,8043
food,8042
yellow,8017
couple,7828
beach,7677
tie,7656
ocean,7616
mirror,7586
portrait,7537
sunset,7494
sign,7449
teddy bear,7168
love,6982
camera,6819
star,6798
toy,6483
bird,6456
kitten,6349
quote,6341
room,6279
book,6276
car,6260
cup,6245
umbrella,6086
baby,6086
building,6071
sun,5766
rabbit,5752
actor,5722
field,5708
city,5557
kimono,5554
text,5533
purple,5495
suit,5441
lady,5414
chair,5398
model,5218
finger,5209
lay,5183
step,5176
fly,5119
mouth,5112
moon,5094
snow,5075
bunny,5004
cartoon character,4821
eat,4774
mask,4767
sweater,4751
sea,4734
logo,4718
toddler,4683
paper,4632
bow,4587
nose,4553
beauty,4499
arm,4448
call,4429
sunglass,4424
sit in,4234
makeup,4177
rose,4161
lipstick,4023
pose,3978
poster,3913
costume,3904
school uniform,3896
grass,3792
video,3725
bag,3651
floor,3640
bottle,3509
orange,3488
bouquet,3482
mountain,3453
pig,3384
symbol,3366
writing,3347
cake,3322
cap,3305
puppy,3270
jacket,3234
plant,3229
kid,3171
uniform,3167
rain,3159
coat,3157
plate,3103
bowl,3054
skirt,3042
couch,3032
beautiful,2917
cigarette,2879
large,2853
movie,2839
blanket,2790
lake,2763
talk,2708
doll,2682
scarf,2639
night sky,2576
cover,2575
road,2566
vase,2560
hoodie,2482
coffee,2465
kiss,2453
lay on,2419
box,2403
pattern,2394
game,2353
bench,2347
traditional,2345
t shirt,2341
house,2334
line,2308
sleep,2307
fruit,2302
leg,2281
baseball cap,2278
panda,2261
silhouette,2254
pillow,2248
headphone,2238
play,2218
top,2194
body,2182
lie,2169
boat,2110
ride,2079
door,2076
face mask,2063
river,1992
shoe,1969
selfie,1963
brown,1959
butterfly,1957
shoulder,1953
helmet,1951
balloon,1941
space,1906
tattoo,1881
some,1876
read,1859
smoke,1814
mouse,1788
beanie,1764
dark,1758
full,1737
skateboard,1735
train,1723
desk,1723
tooth,1723
cellphone,1717
neck,1697
apple,1691
float,1666
tongue,1663
laptop,1657
shadow,1656
hill,1656
park,1649
backpack,1634
sheep,1625
film,1625
blonde,1614
design,1599
forest,1598
strawberry,1565
set,1551
write,1547
candle,1540
hang,1531
straw,1519
bride,1515
duck,1501
bubble,1500
elephant,1500
bow tie,1497
